Designator,Mid X,Mid Y,Rotation,Layer
C1,98.2345,-32.28975,180.0,top
C10,110.07725,-54.61,270.0,top
C11,110.07725,-52.22875,90.0,top
C12,106.90225,-55.4355,180.0,top
C13,108.5215,-54.51475,180.0,top
C14,108.5215,-52.22875,180.0,top
C15,108.5215,-49.94275,180.0,top
C16,110.07725,-49.911,270.0,top
C17,110.07725,-47.72025,90.0,top
C18,84.582,-46.13275,0.0,top
C19,103.15575,-46.51375,0.0,top
C2,92.23375,-32.28975,0.0,top
C20,103.15575,-44.54525,0.0,top
C21,98.26625,-39.46525,270.0,top
C22,96.266,-37.87775,0.0,top
C23,92.075,-37.6555,0.0,top
C24,81.661,-36.48075,270.0,top
C25,107.60075,-32.60725,0.0,top
C26,87.15375,-39.90975,0.0,top
C27,90.26525,-41.529,90.0,top
C28,99.568,-55.499,90.0,top
C29,98.64725,-55.499,90.0,top
C3,106.9975,-34.51225,90.0,top
C30,81.56575,-63.754,90.0,top
C31,83.02625,-60.10275,90.0,top
C32,83.02625,-56.67375,270.0,top
C33,97.44075,-88.4555,0.0,top
C34,100.86975,-88.4555,0.0,top
C35,86.4235,-55.499,180.0,top
C36,88.80475,-59.10225,90.0,top
C37,90.297,-59.08675,270.0,top
C38,92.67825,-56.4515,0.0,top
C39,103.98125,-91.15425,270.0,top
C4,107.91825,-34.51225,90.0,top
C40,89.63025,-57.531,180.0,top
C41,89.63025,-56.29275,180.0,top
C5,108.87075,-35.433,90.0,top
C6,109.7915,-35.433,90.0,top
C7,109.6645,-36.98875,0.0,top
C8,110.07725,-38.5445,270.0,top
C9,110.07725,-45.5295,270.0,top
D1,103.4415,-39.40175,270.0,top
D2,97.4725,-51.7525,90.0,top
F1,100.1395,-36.29025,0.0,top
J1,95.25,-27.178,180.0,top
J3,87.63,-74.882,0.0,top
J4,102.87,-74.882,0.0,top
LED1,101.6,-26.9875,270.0,top
LED2,101.6,-30.48,270.0,top
LED3,88.9,-26.9875,270.0,top
LED4,88.9,-30.48,270.0,top
LED5,87.63,-62.32525,90.0,top
Q1,87.503,-45.75175,270.0,top
Q2,89.24925,-48.22825,270.0,top
Q3,101.2825,-57.15,180.0,top
Q4,101.2825,-60.452,180.0,top
Q5,101.2825,-63.754,180.0,top
Q6,83.7565,-63.1825,270.0,top
R1,103.79075,-31.01975,270.0,top
R10,93.345,-48.133,90.0,top
R13,100.203,-44.958,270.0,top
R14,90.2335,-44.10075,270.0,top
R15,87.63,-31.01975,90.0,top
R16,87.63,-27.52725,90.0,top
R17,89.18575,-45.4025,270.0,top
R18,81.661,-34.29,90.0,top
R19,109.18825,-33.24225,90.0,top
R2,102.83825,-31.01975,270.0,top
R20,86.233,-34.06775,90.0,top
R21,89.63025,-38.95725,0.0,top
R22,89.63025,-39.90975,0.0,top
R23,99.15525,-58.70575,270.0,top
R24,99.15525,-61.94425,90.0,top
R25,103.505,-85.09,0.0,top
R26,102.997,-91.186,90.0,top
R27,85.43925,-62.865,90.0,top
R28,83.66125,-64.99225,180.0,top
R29,86.39175,-62.865,90.0,top
R3,103.8225,-27.52725,270.0,top
R4,102.87,-27.52725,90.0,top
R5,102.5525,-24.765,0.0,top
R6,87.91575,-24.765,180.0,top
R8,91.44,-48.133,90.0,top
SW1,83.947,-29.464,90.0,top
SW2,106.52125,-29.464,90.0,top
SW3,83.947,-34.89325,270.0,top
SW4,106.045,-60.99175,90.0,top
SW5,106.299,-89.56675,90.0,top
TVS1,95.377,-34.3535,270.0,top
TVS10,80.9625,-78.70825,180.0,top
TVS11,96.4565,-76.16825,180.0,top
TVS12,96.4565,-73.62825,180.0,top
TVS13,80.80375,-71.08825,180.0,top
TVS14,80.9625,-81.24825,180.0,top
TVS15,109.5375,-83.7565,0.0,top
TVS16,96.4565,-83.7565,180.0,top
TVS17,109.5375,-81.24825,0.0,top
TVS18,96.4565,-81.2165,180.0,top
TVS19,109.69625,-78.70825,0.0,top
TVS2,93.853,-34.3535,270.0,top
TVS20,96.4565,-78.6765,180.0,top
TVS21,109.5375,-76.16825,0.0,top
TVS22,80.9625,-68.54825,180.0,top
TVS23,109.5375,-68.58,0.0,top
TVS3,99.568,-34.2265,0.0,top
TVS4,81.28,-39.37,270.0,top
TVS5,105.7275,-24.765,180.0,top
TVS6,87.47125,-34.036,270.0,top
TVS7,109.5375,-64.92875,0.0,top
TVS8,109.5375,-57.05475,0.0,top
TVS9,103.6955,-87.97925,270.0,top
U1,104.74325,-33.8455,90.0,top
U1003,94.2975,-42.2275,90.0,top
U1004,94.2975,-60.785,270.0,top
U2,105.31475,-51.08575,180.0,top
XTAL1,86.45525,-42.32275,0.0,top
XTAL2,85.9155,-57.83225,180.0,top
