"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","AliExpress","Comment","DigiKey","Farnell","JLCPCB Part #","MPN","Manufacturer","Mouser"
"26","4","SW1, SW2, SW3, SW5","12V 50mA","Tiny_Scarab:SW_K2-1109SP-I4SA-04","Tiny_Scarab:SW_Tactile_SPST_NO_Straight_Korean-Hroparts_K2-1109SP-I4SA-04","","","","","","","C146695","K2-1109SP-I4SA-04","Korean Hroparts Elec",""
"27","1","SW4","12V 50mA","Tiny_Scarab:SW_SS-3235D-03-L3","Tiny_Scarab:SW_Slide_SPDT_XKB-Connectivity_SS-3235D-03-L3","","","","","","","C2884764","SS-3235D-03-L3","XKB Connectivity",""
"28","2","TVS1, TVS2","5V","Tiny_Scarab:TVS_CDSOD323-T05LC","Tiny_Scarab:D_SOD-323_CDSOD323-T05LC","https://www.bourns.com/docs/Product-Datasheets/CDSOD323-TxxLC.pdf","","","","CDSOD323-T05LCTR-ND","1824861","C840637","CDSOD323-T05LC","Bourns","652-CDSOD323-T05LC"
"29","1","TVS3","5V","Tiny_Scarab:TVS_SMAJ5.0A","Tiny_Scarab:D_SMA_SMAJ5.0A","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","","","","SMAJ5.0ALFTR-ND","1827607","C83329","SMAJ5.0A","Littelfuse Inc.","576-SMAJ5.0A"
"30","32","TVS4, TVS5, TVS6, TVS7, TVS8, TVS9, TVS10, TVS11, TVS12, TVS13, TVS14, TVS15, TVS16, TVS17, TVS18, TVS19, TVS20, TVS21, TVS22, TVS23, TVS24, TVS25, TVS26, TVS27, TVS28, TVS29, TVS30, TVS31, TVS32, TVS33, TVS34, TVS35","5V","Tiny_Scarab:TVS_SP1007-01ETG","Tiny_Scarab:D_SOD-882_SP1007-01ETG","","","","","F6187TR-ND","2777317","C126836","SP1007-01ETG","Littelfuse","576-SP1007-01ETG"
"31","1","U1","AP2141WG-7","Tiny_Scarab:IC_AP2141WG-7","Tiny_Scarab:SOT-23-5","","","","","AP2141WGDITR-ND","3482799","C500761","AP2141WG-7","Diodes Incorporated","621-AP2141WG-7"
"32","1","U2","3V3","Tiny_Scarab:IC_MCP1825ST-3302E-DB","Tiny_Scarab:SOT-223-3_TabPin2","http://ww1.microchip.com/downloads/en/devicedoc/22056b.pdf","","","","MCP1825ST-3302E/DBTR-ND","2857611","C145411","MCP1825ST-3302E/DB","Microchip Technology","579-MCP1825ST3302EDB"
"33","1","U3","CH32V305FBP6","Tiny_Scarab:IC_CH32V305FBP6","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","","","1005004329064488","","","","C5123443","CH32V305FBP6","WCH",""
"34","1","U4","CH32V003F4P6","Tiny_Scarab:IC_CH32V003F4P6","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","","","1005005036714708","","","","C5187096","CH32V003F4P6","WCH",""
"35","1","XTAL1","12MHz","Tiny_Scarab:XTAL_SX5B12.000F2020F30","Tiny_Scarab:CRYSTAL-SMD5032-4P","","","","","","","C2901629","SX5B12.000F2020F30","Shenzhen SCTF Elec",""
"36","1","XTAL2","24MHz","Tiny_Scarab:XTAL_M24000J054","Tiny_Scarab:CRYSTAL-SMD3225-4P","","","","","","","C279615","M24000J054","ECEC(ZheJiang E ast Crystal Elec)",""
